id,stream,title,kernel_concept,phase,depends_on,parallel_safe,deliverable,test_cmd,est_days,status,owner,reviewer,pr,notes
P2-00,fs,Bootcamp: build kernel + boot QEMU + gdb attach + hello LKM,kernel build system; module lifecycle,0,none,yes,docs/journal/p2.md,make vm-boot,7,todo,P2,-,,Shared with all four.
P2-01,fs,Write tx_fs_stub.c (begin/commit/abort log and return 0),stub discipline,1,P1-01,yes,src/stub/tx_fs_stub.c,make test-stub,1,done,P2,P3,,Written. Compiles standalone; needs kernel headers to build into the module.
P2-02,fs,Study overlayfs internals: lowerdir/upperdir/workdir + whiteouts,union filesystems; VFS stacking,1,none,yes,docs/journal/p2-overlayfs.md,n/a - writeup,3,todo,P2,P3,,Pure reading. Whiteout semantics decide P2-05's design.
P2-03,fs,Mount an overlay from kernel space per transaction,mount API; fs_context; namespaces,1,P2-02,yes,src/fs/mount.c,tests/p2/t01_mount.sh,4,done,P2,P3,,"VERIFIED in guest. Kernel creates <tx_root>/tx-<id>/{upper,work,merged}; the supervisor mounts the overlay in a private mount ns. do_add_mount() is NOT exported to modules, so a module cannot graft a mount however much of fs_context it may call - same split container runtimes use."
P2-04,fs,Abort: recursive discard of the upper layer,dentry iteration; vfs_unlink,1,P2-03,yes,src/fs/abort.c,tests/p2/t02_abort.sh,3,done,P2,P3,,"VERIFIED: tests/p2/t02_abort.sh, 8 assertions. THE M1 DEMO. Creation, modification AND deletion all rolled back; tree byte-identical to before; upper/ drained."
P2-05,fs,Commit: merge upper into lower incl. whiteout handling,rename/link semantics; atomicity,2,P2-04,yes,src/fs/commit.c,tests/p2/t03_commit.sh,5,done,P2,P4,,"VERIFIED: tests/p2/t03_commit.sh, 7 assertions. Whiteouts merge as unlinks. BUG FOUND+FIXED: overlayfs marks every NEW dir opaque, so treating opaque as wholesale-replacement broke an ordinary mkdir -p inside a tx."
P2-06,fs,Write-set tracking at inode granularity,inodes; refcounting; i_ino,2,P2-03,yes,src/fs/writeset.c,tests/p2/t04_writeset.sh,4,done,P2,P4,,"VERIFIED: the write set IS the upper layer - overlayfs already records one entry per modified object, so there is no write-path accounting to drift. tx_fs_writeset_count() walks it."
P2-07,fs,Read-set tracking,VFS read path,3,P2-06,yes,src/fs/readset.c,tests/p2/t05_readset.sh,3,todo,P2,P1,,PROMOTED from stretch: multi-agent is no longer optional - subagents make wait-for cycles reachable (docs/deadlock.md).
P2-08,fs,External-modification detection (i_version / mtime),cache coherence,2,P2-06,yes,src/fs/extmod.c,tests/p2/t06_extmod.sh,3,done,P2,P4,,"VERIFIED: detect and report, do not refuse. Coarse mtime comparison; precise per-inode i_version needs the read set (P2-07). Policy belongs to P2-12 (OCC), not here."
P2-09,fs,Crash consistency: fsync ordering around merge,journaling; write barriers,3,P2-05,yes,src/fs/durable.c,tests/p2/t07_crash.sh,4,todo,P2,P1,,Test by killing QEMU mid-merge. Good paper material.
P2-10,fs,Stackable passthrough FS prototype (wrapfs-style),VFS; super_operations; inode_operations,3,P2-02,yes,src/fs/stackfs/,tests/p2/t08_stackfs.sh,7,todo,P2,P1,,STRETCH. Start from Zadok's wrapfs. Fallback: stay on overlayfs - system still complete.
P2-11,fs,Microbenchmark: CoW overhead + storage amplification,measurement methodology,3,P2-05,yes,tools/bench/bench_fs.sh,make bench-fs,2,done,P2,P1,,"VERIFIED: CoW is nearly free at the median (+34ns) and 3.6x worse at p99 (9155 vs 2562ns) -- the tail IS the copy-up. Storage amplification 4096x for a 1-byte edit of a 4096B file. An earlier version said 16x because it measured AFTER commit, which drains the upper layer."
P2-12,fs,Commit-time write-set intersection (OCC validation),optimistic concurrency control,3,P2-06,yes,src/fs/occ.c,tests/p2/t09_occ.sh,4,proposed,P2,P1,,"PROPOSED (docs/deadlock.md section 2.2). OCC makes the DATA path deadlock-free by construction; the cost is starvation, not deadlock."
