id,stream,title,kernel_concept,phase,depends_on,parallel_safe,deliverable,test_cmd,est_days,status,owner,reviewer,pr,notes
P1-00,core,Bootcamp: build kernel + boot QEMU + gdb attach + hello LKM,kernel build system; module lifecycle,0,none,yes,docs/journal/p1.md,make vm-boot,7,todo,P1,-,,All four do this. Nobody advances until everyone has panicked and recovered a kernel.
P1-01,core,Write include/agenttx.h contract,API design,0,none,yes,include/agenttx.h,make headers-check,2,done,P1,ALL,,"CONTRACT WRITTEN. Compiles in 4 dialects, 12 ABI invariants assert. NEEDS FOUR APPROVALS TO FREEZE."
P1-02,core,Write tx_core_stub.c (tx_current_id returns 1),stub discipline,1,P1-01,yes,src/stub/tx_core_stub.c,make test-stub,1,done,P1,P2,,Written. Compiles standalone; needs kernel headers to build into the module.
P1-03,core,LKM skeleton + /dev/agenttx char device registration,char devices; module_init/exit; file_operations,1,P1-01,yes,src/core/main.c,tests/p1/t01_load.sh,2,done,P1,P2,,"VERIFIED in guest: tests/p1/t01_load.sh, 4 assertions. insmod/rmmod x10, no leak, clean dmesg on KASAN+lockdep."
P1-04,core,ioctl BEGIN/COMMIT/ABORT with copy_from_user,user-kernel boundary; ioctl ABI,1,P1-03,yes,src/core/ioctl.c,tests/p1/t02_ioctl.sh,2,done,P1,P2,,"VERIFIED: t02_ioctl.sh, 10 assertions. Wrong magic/nr -> ENOTTY, wrong abi -> EPROTO. An explicit unknown tx id now returns ENOENT (was a zeroed success - t03 caught it)."
P1-05,core,TX context hashtable keyed by tgid,hashtable.h; spinlock vs RCU,1,P1-03,yes,src/core/ctx.c,tests/p1/t03_ctx.sh,3,done,P1,P2,,"VERIFIED: t03_ctx.sh, 6 assertions. Membership is INHERITED by descendants (bounded 16-deep ancestor walk) - without it an agent subprocess escapes the sandbox entirely."
P1-06,core,TX state machine NONE->ACTIVE->COMMITTING->DONE/ABORTED,state invariants; error paths,1,P1-05,yes,src/core/state.c,tests/p1/t04_state.sh,3,done,P1,P2,,"VERIFIED: t04_state.sh, 9 assertions. tx_state_selfcheck() runs at module_init and REFUSES TO LOAD if DOOMED->ABORTING is ever reachable."
P1-07,core,Commit ordering protocol (fs then effects) + partial-failure handling,two-phase commit,2,P1-06,yes,src/core/commit.c,tests/p1/t05_commit.sh,3,done,P1,P3,,"VERIFIED: t05_commit.sh. Commit order fs-then-effects and abort order effects-then-fs both asserted from stub dmesg ordering. Partial failure -> TX_STATE_FAILED, never a fake success."
P1-08,core,Process death mid-transaction: exit hook + cleanup,task lifecycle; use-after-free,2,P1-06,yes,src/core/exit.c,tests/p1/t06_kill.sh,4,done,P1,P3,,"VERIFIED: t06_kill.sh, 7 assertions, on the KASAN kernel. SIGKILL during ACTIVE auto-aborts (reason=7); 10 simultaneous deaths all cleaned up; zero KASAN/BUG/WARNING."
P1-09,core,Nested transaction semantics (flatten vs true nesting),reentrancy,2,P1-06,yes,src/core/nest.c,tests/p1/t07_nest.sh,3,done,P1,P3,,VERIFIED: we flatten. A descendant calling BEGIN joins the enclosing transaction rather than opening a nested sibling.
