id,stream,title,kernel_concept,phase,depends_on,parallel_safe,deliverable,test_cmd,est_days,status,owner,reviewer,pr,notes
P3-00,eff,Bootcamp: build kernel + boot QEMU + gdb attach + hello LKM,kernel build system; module lifecycle,0,none,yes,docs/journal/p3.md,make vm-boot,7,todo,P3,-,,Shared with all four.
P3-01,eff,Write tx_eff_stub.c (flush/discard log and return 0),stub discipline,1,P1-01,yes,src/stub/tx_eff_stub.c,make test-stub,1,done,P3,P4,,Written. Compiles standalone; needs kernel headers to build into the module.
P3-02,eff,BPF LSM build setup: CONFIG_BPF_LSM + lsm=bpf + libbpf skeleton,LSM framework; BPF loader,1,none,yes,src/bpf/Makefile,tests/p3/t01_load.sh,3,done,P3,P4,,"VERIFIED: tests/p3/t01_load.sh, 9 assertions. clang CO-RE against the GUEST 6.12 BTF (not the host 7.0), 5 LSM programs verified, kfuncs resolved via module BTF, module unloads cleanly after detach."
P3-03,eff,First hook: lsm/file_open log-only,LSM hook signatures; BPF programs,1,P3-02,yes,src/bpf/hooks_file.c,tests/p3/t02_fileopen.sh,3,done,P3,P4,,VERIFIED: lsm/file_open logs to the WAL ring. Proves the toolchain end to end.
P3-04,eff,Gate hooks on tx state via tx_current_id() kfunc,BPF-to-module calls; BTF,1,P3-03,yes,src/bpf/txgate.c,tests/p3/t03_gate.sh,2,done,P3,P4,,"VERIFIED: tests/p3/t03_gate.sh, 7 assertions. 23 of 541 syscalls attributed; the gate EXCLUDES 518. Uses P1-10s real kfunc, and proves inheritance from the BPF side - the agent is a grandchild of the tx owner."
P3-05,eff,Full hook set: inode_unlink rename socket_connect socket_sendmsg bprm_check,LSM coverage; denial semantics,2,P3-03,yes,src/bpf/hooks_all.c,tests/p3/t04_hooks.sh,5,done,P3,P1,,"VERIFIED: file_open, path_unlink, bprm_check, socket_connect, socket_sendmsg all attached and firing. socket_connect/sendmsg extract the real destination in-kernel (seen: 1.1.1.1:80)."
P3-06,eff,Static rule table in a BPF map (classifier baseline),BPF maps,2,P3-05,yes,src/bpf/rules.c,tests/p3/t05_rules.sh,3,done,P3,P1,,"VERIFIED: static rule table in a BPF map (tx_rules), consulted before the built-in rule. THE BASELINE the model must beat at P3-11. Built-in rule is grounded in our own gate measurement, not intuition: TCP is emitted because 18 of 19 connections read a reply back."
P3-07,eff,Effect WAL: ring buffer recording deferrable effects,bpf_ringbuf; kernel memory,2,P3-05,yes,src/bpf/wal.c,tests/p3/t06_wal.sh,4,done,P3,P1,,"VERIFIED: ring buffer, gap-free per-tx seq, payload capture from msg_iter (ITER_UBUF and ITER_IOVEC, user pointers), overflow counter. Doom-on-overflow policy still to wire."
P3-08,eff,Deferral: socket_sendmsg returns success without sending,kernel networking path,2,P3-07,yes,src/bpf/defer.c,tests/p3/t07_defer.sh,5,done,P3,P1,,"VERIFIED: tests/p3/t07_defer.sh, 9 assertions incl. a CONTROL case. Agent sendto() reports SUCCESS, packet never reaches the peer, WAL records it deferred. MUST be tcx/egress: cgroup_skb/egress drops but returns -EPERM to the sender, defeating the point."
P3-09,eff,Flush on commit / discard on abort with correct ordering,two-phase commit,2,P3-08,yes,src/bpf/flush.c,tests/p3/t08_flush.sh,3,done,P3,P1,,"VERIFIED: tests/p3/t08_flush.sh, 9 assertions. The same send arrives IFF the transaction commits. Replay is userspace (BPF maps are userspace-managed; building sk_buffs in-kernel buys nothing). ORDER: clear suppression BEFORE replay, or our own egress rule drops the replay and commit is a silent no-op."
P3-10,eff,Irreversible path: escalate to userspace approval,sleepable LSM hooks; blocking in kernel,3,P3-05,yes,src/bpf/escalate.c,tests/p3/t09_escalate.sh,4,todo,P3,P2,,Only sleepable hooks may block. Timeout policy = deny.
P3-11,eff,Swap static rules for P4's in-kernel classifier,integration,3,P3-06,yes,src/bpf/classify_call.c,tests/p3/t10_classify.sh,2,todo,P3,P2,,Interface unchanged since P3-06 - this should be a small diff. If it isn't the contract was wrong.
P3-12,eff,Microbenchmark: per-hook overhead + syscalls/sec,measurement methodology,3,P3-05,yes,tools/bench/bench_hooks.sh,make bench-hooks,2,todo,P3,P2,,Feeds P4-11. Measure with hooks off / log-only / enforcing.
